Ethnicity,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,æ,ð,ə,i,œ,ß,þ,ą,ç,đ,ę,ħ,į,ł,ø,ş,ţ,ŧ,ų,á,à,â,ä,ă,ā,ã,å,ǻ,ǽ,ć,ċ,č,ď,é,è,ė,ê,ë,ě,ē,ġ,ğ,ģ,í,ì,i̇,î,ï,ī,ķ,ĺ,ļ,ľ,ń,ň,ñ,ņ,ṋ,ó,ò,ȯ,ȱ,ô,ö,ō,õ,ő,ǿ,ŕ,ř,ŗ,ś,š,ș,ť,ț,ú,ù,û,ü,ū,ű,ů,ẃ,ẁ,ŵ,ẅ,ý,ỳ,ŷ,ÿ,ź,ż,ž,ı,'
alb,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,,,,,,,ç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azr,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,ə,ı,,,,,ç,,,,,,,ş,,,,,,,ä,,,,,,,,,,,,,,,,,,,ğ,,,,i̇,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
bsq,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ñ,,,,,,,,,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
bul,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scm,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,đ,,,,,,,,ŧ,,,,,,,,,,,,ć,,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,š,,,,,,,,,,,,,,,,,,,,,ž,,
cze,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,č,ď,é,,,,,ě,,,,,í,,,,,,,,,,,ň,,,,ó,,,,,,,,,,,ř,,,š,,ť,,ú,,,,,,ů,,,,,ý,,,,,,ž,,
dan,a,b,,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,,æ,,,,,,,,,,,,,,ø,,,,,,,,,,,,å,ǻ,ǽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ó,,,,,,,,,ǿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dch,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
est,a,b,,d,e,,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,,,,,,,,,,,,,,,,,,,,,,,,ä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,õ,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
fin,a,,,d,e,,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,,,,,,,,,,,,,,,,,,,,,,,,ä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fre,a,b,c,d,e,f,g,h,i,j,,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,æ,,,,œ,,,,ç,,,,,,,,,,,,à,â,,,,,,,,,,,,é,è,,ê,ë,,,,,,,,,î,ï,,,,,,,,,,,,,,,ô,,,,,,,,,,,,,,,ù,û,ü,,,,,,,,,,,ÿ,,,,,
gae,a,b,c,d,e,f,g,h,i,,,l,m,n,o,p,,r,s,t,u,,,,,,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,,,é,,,,,,,,,,í,,,,,,,,,,,,,,,ó,,,,,,,,,,,,,,,,,,ú,,,,,,,,,,,,,,,,,,,
geo,a,b,c,d,e,,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ger,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,ß,,,,,,,,,,,,,,,,,ä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
gre,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,,,é,,,,,,,,,,í,,,,,,,,,,,,,,,ó,,,,,ö,,,ő,,,,,,,,,,ú,,,ü,,ű,,,,,,,,,,,,,,
ice,a,b,,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,x,y,,æ,ð,,,,,þ,,,,,,,,,,,,,á,,,,,,,,,,,,,,é,,,,,,,,,,í,,,,,,,,,,,,,,,ó,,,,,ö,,,,,,,,,,,,,ú,,,,,,,,,,,ý,,,,,,,,
ita,a,b,c,d,e,f,g,h,i,,,l,m,n,o,p,q,r,s,t,u,v,,,,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'
lat,a,b,c,d,e,,g,,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,,,,,,,,,,,,,,,,ā,,,,,,,č,,,,,,,,ē,,,ģ,,,,,,ī,ķ,,ļ,,,,,ņ,,,,,,,,,,,,,,,,š,,,,,,,,ū,,,,,,,,,,,,,ž,,
lth,a,b,c,d,e,,g,,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,z,,,,,,,,ą,,,ę,,į,,,,,,ų,,,,,,,,,,,,,č,,,,ė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,š,,,,,,,,ū,,,,,,,,,,,,,ž,,
pol,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,,w,,y,z,,,,,,,,ą,,,ę,,,ł,,,,,,,,,,,,,,,,ć,,,,,,,,,,,,,,,,,,,,,,,,ń,,,,,ó,,,,,,,,,,,,,ś,,,,,,,,,,,,,,,,,,,,ź,ż,,,
por,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,ç,,,,,,,,,,,á,à,â,,,,ã,,,,,,,,é,è,,ê,,,,,,,í,,,,,,,,,,,,,,,ó,ò,,,ô,,,õ,,,,,,,,,,,ú,,,ü,,,,,,,,,,,,,,,,
rom,a,b,c,d,e,f,g,h,i,j,,l,m,n,o,p,,r,s,t,u,v,,x,,z,,,,,,,,,,,,,,,,ş,ţ,,,,,â,,ă,,,,,,,,,,,,,,,,,,,,,,,î,,,,,,,,,,,,,,,,,,,,,,,,,,,ș,,ț,,,,,,,,,,,,,,,,,,,,
rus,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slk,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,z,,,,,,,,,,,,,,,,,,,,á,,,ä,,,,,,,,,č,ď,é,,,,,,,,,,í,,,,,,,ĺ,,ľ,,ň,,,,ó,,,,ô,,,,,,ŕ,,,,š,,ť,,ú,,,,,,,,,,,ý,,,,,,ž,,
spa,a,b,c,d,e,f,g,h,i,j,,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,,,é,,,,,,,,,,í,,,,ï,,,,,,,,ñ,,,ó,,,,,,,,,,,,,,,,,,ú,,,ü,,,,,,,,,,,,,,,,
svn,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,š,,,,,,,,,,,,,,,,,,,,,ž,,
swe,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,ä,,,,å,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trk,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,z,,,,ı,,,,,ç,,,,,,,ş,,,,,,,,,,,,,,,,,,,,,,,,,,ğ,,,,i̇,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,ı,
ukr,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
